2038,14.54488,1088.5587,4549.08402,7092.50036,1567.53366,,863.6235375,743.15303514,687.0632250199999,5338.7600858000005,1268.9562162,145.0906,1109.1948,2346.87,4436.6234,321.79693330599997,105.3758,798.1382,1183.1411999999998,2590.8916,124.68280000000001,41.275267968,1005.7301002,2298.6718499999997,5415.2537,1220.68939292,4529.7726,40.512385938,975.75115,1764.8325249999998,4288.4859,1218.62719944,4551.3234,38.03899922,907.945125,2498.72085,5436.3924,778.1010023599999,4183.9531,38.377379690000005,906.6725,2452.73475,5312.5333,901.77942368,4162.3196,38.611901566,967.2985,1791.65915,4237.511399999999,1124.57727868,4221.750599999999,2608.2126,1635.75094,1036.9720799999998,1372.8542318,2990.1048688,4424.154307,2390.8018198,1721.8226632,15.5083,989.98974,4159.621980000001,6921.47786,406.83212,15.45824,1028.694,4042.3773,6720.78052,1593.1637,276.9579885,267.82705081999995,1666.757987,2799.9419983999996,926.3833253999999,149.96736888,2370.4975815999996,1041.2504744,1921.0878108000002,4664.54395668,153.52194776,2660.3072692,1348.25919216,2196.8686598,6796.5432882,388.8545125,2428.2627421800003,1297.1107629000003,3038.6198805999993,1673.777143,44.629599999999996,674.9540000000001,3022.6621999999998,3049.0562,1653.42100026,3023.3424210000003,96.8826,1151.2856,2283.7882,4211.112999999999,304.279066666,2179.8874361999997,40.118,755.48,6879.0,4804.0,3116.8,40.135999999999996,1043.12,8771.2,5274.2,6672.0,40.86,1467.72,1519.6799999999998,3202.8,5398.0,1103.3900581999999,9571.4339702,2905.846959,2604.171397,1274.2104048,8780.936114,2915.7922793999996,2576.9394682,16.0178,896.15382,5997.5169399999995,1133.24578,906.7929625,693.5864391,619.7451281,4942.9385588000005,1815.2027016,119.40304109400002,1199.42849118,2525.1817182,3458.3375062,756.1574420200001,1951.5364625999998,37.93113403,1533.2985598,3155.1121092000003,3021.6967286,523.98764036,649.15166,3833.2732,2486.2332,738.9199409199999,2480.3082000000004,2264.6925764,1724.4118426,1257.5966044000002,865.2900749400001,2918.4843524,2373.35931,1808.0254071999998,1269.0907606
2039,14.79914,1096.9759,4954.785760000001,7542.25378,1883.0951800000003,,881.1111125,780.0101484200001,704.4170656599999,6163.2949604000005,1261.0100966,153.3338,1158.9394,2493.299,4698.6507,354.13363330299995,115.2919,829.2736,1310.4645999999998,2744.2678,137.3999,41.944178904,999.8259876,2458.286425,5782.1401000000005,1504.01848446,4505.7533,41.274583594,972.2008875,1908.3344499999998,4574.1302000000005,1519.4891312199998,4535.7242,38.752024999999996,903.182875,2748.1743,5821.0707,926.91323368,4353.408799999999,39.204572660000004,901.2339999999999,2686.889125,5684.8324,1076.85233634,4327.87205,39.577927347999996,966.3664375000001,1982.58695,4557.6102,1423.20905534,4384.20055,2981.0717999999997,2025.51242,1279.4950399999998,1352.2403834,3162.4784264,4729.678508999999,2610.6991514,1799.0855966,15.790550000000001,1003.75667,4446.579740000001,7326.27153,456.97956,15.71547,1038.1835999999998,4344.7754,7142.2856600000005,1778.5298,289.2241381,265.26759696,1788.2222299999999,2953.4703422,982.9625541999999,152.80294739,2516.0310608,1108.8654592,2030.0684979000002,5141.543579339999,155.83971913,2809.0526551000003,1443.40999458,2313.7028399,7424.3385106,380.90416250000004,2681.19880859,1393.34553795,3293.2506177999994,1678.9456404999999,47.839299999999994,687.3870000000001,3228.3341,3208.4016,1794.15683363,3110.997363,104.46880000000002,1199.8503,2414.3671,4464.654,333.88703333300003,2236.0046866,40.614,771.49,7420.0,5064.0,3453.4,40.522999999999996,1075.56,9485.599999999999,5581.6,7381.0,41.809999999999995,1547.3600000000001,1656.3400000000001,3445.4,5999.0,1097.6408635999999,9826.7658401,3096.4816984999998,2774.819153,1271.5557829,8938.764289499999,3107.5784532,2747.0814261,16.2756,901.69836,6263.59412,1425.07564,925.1253875,738.4917391,632.2339156,5767.874226399999,1835.0993738,128.35840379700002,1250.8974425899999,2677.3591060999997,3652.5248781,831.5112755600001,2016.1684262999997,38.52255859,1594.3843264,3299.6344236,3099.7779297999996,645.81068418,667.99788,4062.4736000000003,2834.9986,721.09793846,2674.2970050000004,2443.4602592,1891.1130758,1324.4376172,838.1898343200002,3105.8853452,2562.206987,1987.7720825999997,1336.1322418
2040,15.0534,1105.3931,5360.4875,7992.0072,2198.6567,,898.5986875,816.8672617000001,721.7709062999999,6987.829835,1253.063977,161.577,1208.684,2639.728,4960.678,386.4703333,125.208,860.409,1437.7879999999998,2897.6440000000002,150.11700000000002,42.61308984,993.921875,2617.901,6149.0265,1787.3475760000001,4481.734,42.03678125,968.650625,2051.836375,4859.7745,1820.3510629999998,4520.125,39.46505078,898.420625,2997.62775,6205.749,1075.725465,4522.8645,40.03176563,895.7955,2921.0435,6057.1315,1251.9252490000001,4493.4245,40.54395313,965.434375,2173.51475,4877.709,1721.840832,4546.6505,3353.9309999999996,2415.2739,1522.0179999999998,1331.6265349999999,3334.851984,5035.202711,2830.596483,1876.34853,16.0728,1017.5236,4733.5375,7731.0652,507.12699999999995,15.9727,1047.6732,4647.1735,7563.7908,1963.8959,301.4902877,262.7081431,1909.686473,3106.998686,1039.541783,155.63852590000002,2661.56454,1176.480444,2139.0491850000003,5618.543202000001,158.1574905,2957.798041,1538.560797,2430.5370199999998,8052.133733,372.9538125,2934.134875,1489.5803130000002,3547.8813549999995,1684.114138,51.049,699.82,3434.006,3367.7470000000003,1934.892667,3198.652305,112.055,1248.415,2544.946,4718.195,363.495,2292.121937,41.11,787.5,7961.0,5324.0,3790.0,40.91,1108.0,10200.0,5889.0,8090.0,42.76,1627.0,1793.0,3688.0,6600.0,1091.8916689999999,10082.09771,3287.116438,2945.4669089999998,1268.901161,9096.592465,3299.364627,2917.223384,16.5334,907.2429,6529.6713,1716.9055,943.4578125,783.3970391,644.7227031,6592.809894,1854.996046,137.3137665,1302.366394,2829.536494,3846.71225,906.8651091,2080.80039,39.11398315,1655.470093,3444.156738,3177.8591309999997,767.633728,686.8441,4291.674,3183.764,703.275936,2868.2858100000003,2622.227942,2057.814309,1391.27863,811.0895937000001,3293.286338,2751.0546640000002,2167.5187579999997,1403.173723
2041,15.32518,1109.63822,5787.25886,8303.56786,2600.27842,,929.27615,869.2415515600001,795.4006594399999,7664.821532,1268.674964,173.5906,1316.1266,2873.4226,5176.9248,482.64369997,139.0266,952.0022,1668.9416999999999,3259.9774,204.95273333,43.352928904,980.8702125,2764.71385,6516.5649,2298.6496266,4555.1993,42.950442968,956.0973625,2213.0312999999996,5128.0773,2318.9409677999997,4586.3265,40.097204686,884.7637625,3136.1758,6535.9658,1458.919432,4600.2557,40.91775391,881.296875,3062.6525500000002,6377.8273,1636.9628942000002,4568.1468,41.578479692,951.714725,2362.2857999999997,5150.0821,2164.636047,4616.3201,3823.4107999999997,3154.92854,2001.6105999999997,1317.9648822,3496.4360044,5558.9676326,3075.1915547999997,1961.0065538,16.35553,1012.2538,5044.787270000001,7986.32526,595.5295299999999,16.2646,1032.50362,4868.18077,7657.96016,2220.65072,313.66557449,262.05715032999996,2123.9144371,3252.73169,1169.5480865,156.08935759000002,2762.684682,1275.7153803,2206.8223805000002,5973.478432100001,158.427749,3070.0242124,1693.1831628,2513.6649961,8275.0507227,357.04874063,3140.3750875,1629.3507130000003,3617.4985371999996,1756.4945437,56.4503,738.6214,3740.8601,3596.2097000000003,2186.3578003000002,3259.2385739,117.63860000000001,1347.9383,2771.2119,4918.3952,458.4884333,2366.9136232,41.31,799.55,8621.9,5528.5,4344.0,41.038,1133.4,10994.0,6097.0,8561.0,42.803,1693.8,2259.1,4087.2,7550.0,1079.12236003,10109.953221,3985.7649672,3185.3190490999996,1255.9023105,9062.9965221,3990.9562383,3156.8414847,16.80248,919.80876,6831.92314,2081.56442,975.41785,834.42868748,704.88648748,7235.1780268,1839.037411,142.36656343,1395.8119339,3059.5161477,3981.5950686,1231.9124926900001,2191.9063354,39.672497556,1674.7039307999999,3606.6585936,3230.0834962,1010.8416992,699.26106,4489.6586,3622.2136,688.4454265,3009.659348,2954.196427,2225.7704442,1477.5629982,788.2580398800001,3460.3640252,3090.570565,2379.5501241999996,1487.0255920000002
2042,15.59696,1113.88334,6214.03022,8615.12852,3001.9001399999997,,959.9536125000001,921.61584142,869.0304125799998,8341.813229,1284.285951,185.6042,1423.5692,3107.1172,5393.1716,578.81706664,152.8452,1043.5954,1900.0953999999997,3622.3108,259.78846666000004,44.092767968000004,967.81855,2911.5267,6884.1033,2809.9516771999997,4628.6646,43.864104686,943.5441,2374.226225,5396.3801,2817.5308726,4652.528,40.729358592,871.1069,3274.72385,6866.1826,1842.1133989999998,4677.6469,41.80374219,866.7982499999999,3204.2616000000003,6698.5231,2022.0005394,4642.8691,42.613006254,937.995075,2551.05685,5422.455199999999,2607.431262,4685.9897,4292.8906,3894.58318,2481.2032,1304.3032294,3658.0200248,6082.7325542,3319.7866266,2045.6645776,16.63826,1006.984,5356.03704,8241.58532,683.93206,16.5565,1017.33404,5089.18804,7752.1295199999995,2477.4055399999997,325.84086128,261.40615756,2338.1424011999998,3398.464694,1299.5543899999998,156.54018928000002,2863.804824,1374.9503166,2274.595576,6328.4136622000005,158.6980075,3182.2503838,1847.8055286000001,2596.7929722,8497.967712399999,341.14366876,3346.6153000000004,1769.1211130000002,3687.1157193999998,1828.8749493999999,61.851600000000005,777.4228,4047.7142,3824.6724000000004,2437.8229336,3319.8248428,123.2222,1447.4615999999999,2997.4777999999997,5118.595399999999,553.4818666,2441.7053094,41.51,811.6,9282.8,5733.0,4898.0,41.166,1158.8,11788.0,6305.0,9032.0,42.846,1760.6,2725.2,4486.4,8500.0,1066.3530510599999,10137.808732,4684.4134964,3425.1711892,1242.90346,9029.400579199999,4682.5478496,3396.4595854,17.071559999999998,932.3746199999999,7134.17498,2446.22334,1007.3778875,885.4603358600001,765.05027186,7877.5461596,1823.078776,147.41936036,1489.2574737999998,3289.4958014,4116.4778872,1556.9598762800001,2303.0122808,40.231011962000004,1693.9377686,3769.1604491999997,3282.3078614,1254.0496704,711.6780200000001,4687.6431999999995,4060.6632,673.614917,3151.032886,3286.164912,2393.7265794,1563.8473664,765.4264860600001,3627.4417124,3430.086466,2591.5814904,1570.877461
2043,15.868739999999999,1118.12846,6640.801579999999,8926.68918,3403.52186,,990.631075,973.99013128,942.6601657199999,9018.804926,1299.8969379999999,197.6178,1531.0118,3340.8118,5609.4184,674.99043331,166.66379999999998,1135.1886,2131.2491,3984.6442,314.62419999,44.832607032,954.7668875,3058.33955,7251.6417,3321.2537278,4702.1299,44.777766404,930.9908375,2535.4211499999997,5664.6829,3316.1207773999995,4718.7294999999995,41.361512498,857.4500375,3413.2718999999997,7196.3994,2225.307366,4755.0381,42.68973047,852.299625,3345.87065,7019.2189,2407.0381846,4717.5914,43.647532816,924.275425,2739.8278999999998,5694.828299999999,3050.226477,4755.659299999999,4762.3704,4634.23782,2960.7958,1290.6415766,3819.6040451999997,6606.4974758,3564.3816984,2130.3226014,16.92099,1001.7142,5667.2868100000005,8496.84538,772.3345899999999,16.848399999999998,1002.16446,5310.19531,7846.298879999999,2734.16036,338.01614807,260.75516479,2552.3703653000002,3544.197698,1429.5606934999998,156.99102097000002,2964.924966,1474.1852529,2342.3687715,6683.3488923,158.968266,3294.4765552,2002.4278944,2679.9209483,8720.8847021,325.23859689000005,3552.8555125000003,1908.891513,3756.7329016,1901.2553550999999,67.25290000000001,816.2242,4354.5683,4053.1351000000004,2689.2880669,3380.4111116999998,128.8058,1546.9849,3223.7437,5318.7955999999995,648.4752999,2516.4969956,41.71,823.65,9943.7,5937.5,5452.0,41.294,1184.2,12582.0,6513.0,9503.0,42.888999999999996,1827.4,3191.3,4885.6,9450.0,1053.58374209,10165.664243000001,5383.0620256,3665.0233292999997,1229.9046094999999,8995.8046363,5374.1394609,3636.0776861,17.34064,944.94048,7436.426820000001,2810.8822600000003,1039.337925,936.4919842400001,825.21405624,8519.9142924,1807.120141,152.47215729,1582.7030137,3519.4754551,4251.3607058,1882.0072598700003,2414.1182262,40.789526368,1713.1716064,3931.6623047999997,3334.5322266,1497.2576416,724.09498,4885.6278,4499.1128,658.7844075,3292.406424,3618.133397,2561.6827146,1650.1317346,742.59493224,3794.5193996,3769.602367,2803.6128565999998,1654.7293300000001
2044,16.14052,1122.37358,7067.57294,9238.24984,3805.14358,,1021.3085375,1026.36442114,1016.28991886,9695.796623,1315.507925,209.63139999999999,1638.4544,3574.5064,5825.6651999999995,771.16379998,180.48239999999998,1226.7818,2362.4028,4346.9776,369.45993332,45.572446096,941.715225,3205.1524,7619.1801,3832.5557784,4775.5952,45.691428122,918.4375749999999,2696.616075,5932.985699999999,3814.7106821999996,4784.931,41.993666404,843.793175,3551.81995,7526.6162,2608.501333,4832.4293,43.57571875,837.8009999999999,3487.4797,7339.914699999999,2792.0758298,4792.3137,44.682059378,910.555775,2928.5989499999996,5967.2014,3493.021692,4825.3288999999995,5231.8502,5373.89246,3440.3884,1276.9799238,3981.1880656,7130.2623974,3808.9767702,2214.9806252,17.20372,996.4444,5978.53658,8752.10544,860.73712,17.1403,986.99488,5531.20258,7940.468239999999,2990.91518,350.19143486,260.10417202,2766.5983294,3689.9307019999997,1559.566997,157.44185266000002,3066.045108,1573.4201892,2410.141967,7038.2841224,159.23852449999998,3406.7027266,2157.0502602,2763.0489244,8943.8016918,309.33352502,3759.095725,2048.661913,3826.3500838,1973.6357607999998,72.6542,855.0255999999999,4661.4223999999995,4281.5978000000005,2940.7532002,3440.9973806,134.3894,1646.5081999999998,3450.0096,5518.9958,743.4687332000001,2591.2886817999997,41.91,835.7,10604.6,6142.0,6006.0,41.422,1209.6,13376.0,6721.0,9974.0,42.931999999999995,1894.2,3657.4,5284.8,10400.0,1040.8144331199999,10193.519754,6081.7105548,3904.8754694,1216.905759,8962.2086934,6065.7310722,3875.6957868,17.60972,957.5063399999999,7738.6786600000005,3175.54118,1071.2979625,987.5236326200002,885.3778406199999,9162.2824252,1791.1615060000001,157.52495422,1676.1485536,3749.4551088,4386.2435244,2207.05464346,2525.2241716,41.348040774,1732.4054442000001,4094.1641603999997,3386.7565918,1740.4656128,736.51194,5083.6124,4937.5624,643.953898,3433.779962,3950.101882,2729.6388498,1736.4161028,719.7633784200001,3961.5970868,4109.118268,3015.6442227999996,1738.5811990000002
2045,16.4123,1126.6187,7494.3443,9549.8105,4206.7653,,1051.986,1078.738711,1089.919672,10372.78832,1331.118912,221.64499999999998,1745.897,3808.201,6041.912,867.33716665,194.301,1318.375,2593.5564999999997,4709.311,424.29566665,46.31228516,928.6635625,3351.96525,7986.7185,4343.857829,4849.0605,46.60508984,905.8843125,2857.8109999999997,6201.2885,4313.300587,4851.1325,42.62582031,830.1363125,3690.368,7856.8330000000005,2991.6953,4909.8205,44.46170703,823.302375,3629.08875,7660.6105,3177.113475,4867.036,45.71658594,896.836125,3117.37,6239.5745,3935.816907,4894.9985,5701.33,6113.5471,3919.9809999999998,1263.318271,4142.772086,7654.027319,4053.5718420000003,2299.638649,17.486449999999998,991.1746,6289.78635,9007.3655,949.13965,17.4322,971.8253,5752.209849999999,8034.6376,3247.67,362.36672165,259.45317925,2980.8262935000002,3835.663706,1689.5733005,157.89268435000002,3167.16525,1672.6551255,2477.9151625000004,7393.2193525,159.508783,3518.928898,2311.672626,2846.1769004999996,9166.7186815,293.42845315,3965.3359375,2188.4323130000002,3895.967266,2046.0161664999998,78.0555,893.827,4968.2765,4510.0605,3192.2183335,3501.5836495,139.973,1746.0314999999998,3676.2754999999997,5719.196,838.4621665,2666.080368,42.11,847.75,11265.5,6346.5,6560.0,41.55,1235.0,14170.0,6929.0,10445.0,42.974999999999994,1961.0,4123.5,5684.0,11350.0,1028.04512415,10221.375265,6780.359084,4144.7276095,1203.9069085,8928.6127505,6757.3226835000005,4115.3138875,17.8788,970.0722,8040.9305,3540.2001,1103.258,1038.5552810000002,945.541625,9804.650558,1775.2028710000002,162.57775115,1769.5940934999999,3979.4347625,4521.126343,2532.1020270500003,2636.330117,41.90655518,1751.639282,4256.666015999999,3438.980957,1983.673584,748.9289,5281.597,5376.012,629.1233885,3575.1535,4282.070367,2897.594985,1822.700471,696.9318246,4128.674774,4448.634169,3227.675589,1822.433068
2046,16.6797,1117.81986,7714.59372,9594.231,4628.12492,,1123.2108,1190.2426282,1235.708197,10677.593432,1374.2831116,233.65859999999998,1853.3396,4041.8956,6258.158799999999,963.5105333199999,208.1196,1409.9682,2824.7101999999995,5071.6444,479.13139998,46.175982816,915.5957875,3529.4461,8265.8676,4833.784622599999,4921.612999999999,46.62731484,889.0969875,3045.4186999999997,6464.911,4888.6250304,4953.9911,42.504349216,819.962425,3839.6542,8170.1912,3554.7002958,5020.2505,44.401208591999996,813.987675,3792.8571,7967.871,3685.7464696,5009.3077,45.79842422,879.787275,3307.6946,6540.907999999999,4437.182455,5008.803199999999,6156.1394,6860.44176,4506.6828,1261.2489934,4349.1657816,8104.3730651999995,4331.502812600001,2383.0146202,17.76918,985.9048,6601.036120000001,9262.62556,1037.54218,17.7241,956.65572,5973.217119999999,8128.80696,3504.42482,374.54200844,258.80218648,3195.0542576,3981.39671,1819.579604,158.34351604,3268.285392,1771.8900618,2545.6883580000003,7748.1545826,159.7790415,3631.1550694,2466.2949918,2929.3048766,9389.6356712,277.52338128,4171.576150000001,2328.202713,3965.5844482,2118.3965722,83.45680000000002,932.6283999999999,5275.1305999999995,4738.5232,3443.6834668,3562.1699184,145.5566,1845.5548,3902.5413999999996,5919.396199999999,933.4555998000001,2740.8720542,42.31,859.8,11926.4,6551.0,7114.0,41.678,1260.4,14964.0,7137.0,10916.0,43.018,2027.8,4589.6,6083.2,12300.0,1015.2758151799999,10249.230776,7479.0076132,4384.5797496,1190.908058,8895.016807599999,7448.9142948,4354.9319882,18.20824,984.6078399999999,8374.38164,3837.16804,1178.9814000000001,1152.3402436000001,1048.8522811999999,10113.6817344,1811.9350678,167.63054808,1863.0396334,4209.4144162,4656.0091616,2857.1494106400005,2747.4360624,42.406392673999996,1766.3789548000002,4326.177051,3437.5142578,2309.4106934,754.86688,5428.8102,5822.0244,615.5810115,3716.0252164,4679.4033522,3085.3001448,1917.0414924000002,678.7239428,4268.1075354,4943.6627048,3425.0703746,1912.7025302
2047,16.9471,1109.02102,7934.84314,9638.6515,5049.48454,,1194.4356,1301.7465454,1381.4967219999999,10982.398544,1417.4473112,245.67219999999998,1960.7822,4275.5902,6474.4056,1059.68389999,221.9382,1501.5614,3055.8639,5433.977800000001,533.96713331,46.039680472,902.5280125,3706.92695,8545.0167,5323.7114162,4994.1655,46.649539839999996,872.3096625,3233.0263999999997,6728.5335,5463.9494738,5056.8497,42.382878122,809.7885375000001,3988.9404,8483.5494,4117.7052916,5130.6805,44.340710154,804.672975,3956.62545,8275.1315,4194.3794642,5151.5794000000005,45.8802625,862.738425,3498.0191999999997,6842.241499999999,4938.548003,5122.6079,6610.9488,7607.33642,5093.384599999999,1259.1797158,4555.5594771999995,8554.7188114,4609.4337832,2466.3905914,18.05191,980.635,6912.285890000001,9517.885620000001,1125.94471,18.016,941.48614,6194.224389999999,8222.97632,3761.17964,386.71729523,258.15119371000003,3409.2822217000003,4127.129714,1949.5859074999998,158.79434773,3369.405534,1871.1249981,2613.4615535000003,8103.0898127,160.0493,3743.3812408,2620.9173576000003,3012.4328527,9612.5526609,261.61830941000005,4377.8163625,2467.973113,4035.2016304000003,2190.7769779,88.85810000000001,971.4297999999999,5581.984699999999,4966.9859,3695.1486001000003,3622.7561873,151.1402,1945.0780999999997,4128.8072999999995,6119.596399999999,1028.4490331000002,2815.6637404,42.51,871.85,12587.3,6755.5,7668.0,41.806,1285.8,15758.0,7345.0,11387.0,43.061,2094.6,5055.700000000001,6482.4,13250.0,1002.50650621,10277.086287,8177.6561424,4624.431889699999,1177.9092074999999,8861.4208647,8140.5059061,4594.5500888999995,18.537679999999998,999.14348,8707.83278,4134.13598,1254.7048,1266.1252062,1152.1629374,10422.712910799999,1848.6672646000002,172.68334501,1956.4851733,4439.3940699,4790.8919802,3182.1967942300003,2858.5420078,42.906230168,1781.1186276,4395.688085999999,3436.0475586000002,2635.1478028,760.80486,5576.0234,6268.0368,602.0386345000001,3856.8969328,5076.7363374,3273.0053046000003,2011.3825138000002,660.516061,4407.5402968,5438.6912406,3622.4651602,2002.9719923999999
